publication_number,title
US-9754200-B2,Method for protecting the authenticity of an article from imitation and counterfeit
US-9805080-B2,Data driven relational algorithm formation for execution against big data
US-2007011724-A1,Mass storage device with automated credentials loading
US-2005188291-A1,Error locating methods and devices for algebraic geometric codes
US-6546349-B1,Optimal degaussing using an evolution program
US-2008294285-A1,Verification System for Robot Pose
US-8522757-B2,Metering exhaust gas recirculation system for a dual turbocharged engine having a turbogenerator system
US-6393554-B1,Method and apparatus for performing vector and scalar multiplication and calculating rounded products
US-5710578-A,Computer program product for utilizing fast polygon fill routines in a graphics display system
US-7463926-B1,Automatic signal amplitude measurement system in the setting of abnormal rhythms
US-2004267457-A1,Automated system and method for harvesting and multi-stage screening of plant embryos
US-2004177322-A1,"Apparatus, system and method of automatically placing embedded icons in their visual order in a displayed or printed bi-directionally formatted document"
US-2010131976-A1,Promotional philosophy for a video-on-demand-related interactive display within an interactive television application
US-8175144-B2,"Method and apparatus for cached adaptive transforms for compressing data streams, computing similarity, and recognizing patterns"
US-5884037-A,System for allocation of network resources using an autoregressive integrated moving average method
US-2007003118-A1,Method and system for projective comparative image analysis and diagnosis
US-6880107-B1,Software configuration monitor
US-8244485-B2,"System and method for detecting damage, defect, and reinforcement in fiber reinforced polymer bonded concrete systems using far-field radar"
US-6459941-B1,Method for handling estimation/ratioing of adjustment
US-2008002897-A1,Method and system for parallel optical decoding of digital phase image to intensity image
US-2005066178-A1,Method and apparatus for controlling access to memory
US-2008111599-A1,Wideband dual-loop data recovery DLL architecture
US-2014368549-A1,Adaptive Patch-Based Image Upscaling
US-2010174865-A1,Dynamic data security erasure
US-2006150055-A1,Adaptive information delivery system using FEC feedback
US-8704948-B2,"Apparatus, systems and methods for presenting text identified in a video image"
US-2002143448-A1,Method and system for independent axle control of a variable force damper system
US-9248753-B2,"Method, system and device for charging an electric vehicle"
US-2009254785-A1,Test mode for parallel load of address dependent data to enable loading of desired data backgrounds
US-2018083558-A1,Rotor position sensing system for three phase motors and related methods
US-2007276653-A1,Method and apparatus for multilingual spelling corrections
US-2003016738-A1,Testing system and method of non-invasive testing
US-8654798-B2,"Barrier synchronization apparatus, barrier synchronization system, and barrier synchronization method"
US-2014245796-A1,Process for producing a cylindrical component made of glass by elongation
US-2003190649-A1,Data mining of SNP databases for the selection of intragenic SNPs
US-9906528-B2,Method and apparatus for providing bootstrapping procedures in a communication network
US-2005143955-A1,Battery management system and apparatus
US-2016226246-A1,Adaptable recharging and lighting station and methods of using the same
US-8801533-B2,Golf clubs and golf club heads having digital lie and/or other angle measuring equipment
US-5841681-A,Apparatus and method of filtering a signal utilizing recursion and decimation
US-9088406-B2,Frame sync across multiple channels
US-2005012898-A1,Iterative fourier reconstruction for laser surgery and other optical applications
US-2012106683-A1,Method and apparatus for parallel turbo decoding in long term evolution system (lte)
US-5448997-A,Heart pacing pulse detection system
US-2008320550-A1,Performing policy conflict detection and resolution using semantic analysis
US-2017228485-A1,Flip-flop clustering for integrated circuit design
