publication_number,title
US-6652816-B2,Apparatus for generating ozone and anion
US-4655910-A,Liquid filtering device
US-3996136-A,Pump-filter for bilge water
US-6036178-A,Device for mixing air and water in a water purifier
US-5813245-A,Pressure relief circuit for refrigerator contained water filter
US-4705625-A,Reverse osmosis water purifying system
US-5344535-A,Dielectrophoretic characterization of micro-organisms and other particles
US-8167141-B2,Gravity flow filter
US-8591856-B2,Single crystal diamond electrochemical electrode
US-4559138-A,End connected filter cartridges
US-5024764-A,Method of making a composite filter
US-6193886-B1,Sub-micron sport bottle with ceramic filtering element
US-5431813-A,Water filtering bottle
US-5425240-A,Purification of oxygen by cryogenic adsorption
US-6733674-B2,Method of dewatering sludge using enzymes
US-5882589-A,"Sealed endoscope decontamination, disinfection and drying device"
US-5271830-A,Water treatment installation for a tangential filtration loop
US-3577341-A,Water treatment
US-7052790-B2,Fuel cell system and operation method having a condensed water tank open to atmosphere
US-6349835-B1,Water treatment installation
US-4298465-A,Fuel filter and water separator apparatus
US-5895573-A,Ultrafiltration device for domestic/drinking water purification
US-5282962-A,Protein skimmer and power head thereof
US-5531865-A,Electrolytic water purification process
US-5458779-A,Method for purification of water
US-5840185-A,Sports bottle filter cartridge
US-2013334343-A1,Trace chemical particle release nozzle
US-7632410-B2,Universal water purification system
US-3933546-A,Method for draining water or moisture from substratum for waterproofing layer
US-5527456-A,Apparatus for water purification by culturing and harvesting attached algal communities
US-3620234-A,Air-filter-cleaning apparatus
US-5942113-A,"Solid-liquid separating filter medium for sewage, waste water, etc"
US-5587089-A,Water purification and dispensing system
US-7759092-B2,Production and purification of IL-29
US-5733461-A,Process for the treatment of waste material suspensions
US-6187192-B1,Microbiological water filter
US-4773357-A,"Water cannon apparatus and method for cleaning a tube bundle heat exchanger, boiler, condenser, or the like"
US-4797212-A,Biological purification of waste waters
US-6337015-B1,Refrigerator-mounted water filtration apparatus
US-6058718-A,"Portable, potable water recovery and dispensing apparatus"
US-5944985-A,Reject water drain line installation system and apparatus for under sink reverse osmosis filter system
US-5779888-A,Filtering apparatus
US-4776952-A,Regulated control valve assembly for a water purification system
US-5888381-A,Water filter with pressure actuated flow monitor
US-7879243-B2,Solvent removal process
US-4629520-A,Method of forming shallow n-type region with arsenic or antimony and phosphorus
US-6100081-A,Biofilter for purification of waste waters and method therefor
US-6146524-A,Multi-stage ozone injection water treatment system
US-6139740-A,Apparatus for improving efficiency of a reverse osmosis system
US-5787537-A,Method of washing laundry and recycling wash water
US-2015010635-A1,"Controlled release particles, wood treatment agent, and producing method thereof"
US-5443739-A,Water purification and dispenser with uncontaminated mineral addition
US-9675938-B2,Chemical clean for membrane filter
US-5787706-A,Exhaust gas purification device
US-5282972-A,Method and apparatus for recycling R/O waste water
US-4799945-A,Dual freezing chamber system and method for water purification
US-6733669-B1,Water filter bottle
US-6468428-B1,"Glass material for carrying a photocatalyst, filter device using the same and light irradiating method"
US-3849305-A,Reverse osmosis water purifying system for household use
US-5417348-A,Water tap
US-6103125-A,Zero waste effluent water desalination system
US-5136173-A,Ocean wave energy conversion system
US-5049272-A,Filter cartridge with vented cap
US-5980740-A,Storm drain collection box filtration system
US-6210470-B1,Ultrasonic gas separator
US-6156191-A,Apparatus for removing selenium from refinery process water and waste water streams
US-6228255-B1,Portable water treatment facility
US-5336399-A,Apparatus for purifying and activating water
US-5045195-A,Personal drinking water purification tube
US-6436299-B1,Water treatment system with an inductively coupled ballast
US-6631764-B2,Filter cake cleanup and gravel pack methods for oil based or water based drilling fluids
US-6039774-A,Pyrolytic conversion of organic feedstock and waste
US-7040512-B2,"Filter integrity testing system and method, and water purification system comprising same"
US-5269919-A,Self-contained water treatment system
US-6368504-B1,Carbon block water filter
US-5460702-A,Apparatus and method for the purification of water
US-8524086-B2,Fluid purification system
US-5078864-A,High flow rate reverse osmosis water filtration system for home use
US-6391081-B1,Metal purification method and metal refinement method
US-2008268060-A1,Methods and apparatus for producing nanoscale particles
US-6495048-B2,Water and wastewater treatment system and process for contaminant removal
US-6758231-B1,Redundant array control system for water rides
US-6467428-B1,Filtered water and feeding system for pets
US-7410573-B2,Waste water purification apparatus and waste water purification method including the regeneration of used coagulant
US-5128034-A,Pressure vessel for housing a water filter
US-5810999-A,Water strainer/purifier and method of using same
US-3674652-A,Method of water purification
US-6254894-B1,Silver self-regulating water purification compositions and methods
US-6406626-B1,"Composite semipermeable membrane, processfor producing the same, and method of purifying water with the same"
US-5976363-A,"Compact water-conserving kitchen water station with sink for supplying copious purified water, particularly for restaurants"
US-4495056-A,Oil shale retorting and retort water purification process
US-5266215-A,Water purification unit
US-5824274-A,"Ozone treatment system for point of use purification of water and sanitizing agent for surfaces, articles and foods"
US-6532758-B2,Water delivery system for refrigerator
US-2010047343-A1,Multiparticulate formulation having tramadol in immediate and controlled release form
US-5543056-A,Method of drinking water treatment with natural cationic polymers
US-8841439-B2,Nucleotide sugar purification using membranes
US-6106705-A,Water treatment device with volumetric and time monitoring features
US-2006273030-A1,Method for preparing oxygenated water with a stable negative oxidation reduction potential (ORP)
